abatter,[ART-2_3],
accurrer,[ART-4],
admetter,[ART-2_3],
affittar,[ART-1, ART-7]
bagliaffar,[ART-1, ART-7]
ballar,[ART-1, ART-7]
barattar,[ART-1, ART-7]
batter,[ART-2_3],
biattar,[ART-1, ART-7]
bittar,[ART-1, ART-7]
blastemmar,[ART-1, ART-7]
buffar,[ART-1, ART-7]
bullar,[ART-1, ART-7]
charezzar,[ART-1, ART-7]
chattar,[ART-1, ART-7]
chiffar,[ART-1, ART-7]
chittar,[ART-1, ART-7]
collar,[ART-1, ART-7]
commetter,[ART-2_3],
concurrer,[ART-4],
crappar,[ART-1, ART-7]
cumbatter,[ART-2_3],
cumprometter,[ART-2_3],
currer,[ART-4],
cutizzar,[ART-1, ART-7]
debatter,[ART-2_3],
discurrer,[ART-4],
dismetter,[ART-2_3],
distinguer,[ART-4],
drizzar,[ART-1, ART-7]
emetter,[ART-2_3],
empermetter,[ART-2_3],
encollar,[ART-1, ART-7]
encrappar,[ART-1, ART-7]
endrizzar,[ART-1, ART-7]
enfivlar,[ART-1, ART-7]
enguttar,[ART-1, ART-7]
enserrar,[ART-1, ART-7]
errar,[ART-1, ART-7]
extinguer,[ART-4],
fittar,[ART-1, ART-7]
flippir,[ART-4],
fullar,[ART-1, ART-7]
futtar,[ART-1, ART-7]
giappar,[ART-1, ART-7]
gizzar,[ART-1, ART-7]
grattar,[ART-1, ART-7]
guettar,[ART-1, ART-7]
insuflar,[ART-1, ART-7]
lappar,[ART-1, ART-7]
manizzar,[ART-1, ART-7]
mazzar,[ART-1, ART-7]
metter,[ART-2_3],
nizzar,[ART-1, ART-7]
offrir,[ART-4],
ometter,[ART-2_3],
paffar,[ART-1, ART-7]
penellar,[ART-1, ART-7]
pennar,[ART-1, ART-7]
percurrer,[ART-4],
permetter,[ART-2_3],
pervegnir,[ART-4],
pezzar,[ART-1, ART-7]
pizzar,[ART-1, ART-7]
premetter,[ART-2_3],
proseguir,[ART-4],
raffar,[ART-1, ART-7]
razzar,[ART-1, ART-7]
readmetter,[ART-2_3],
reaffittar,[ART-1, ART-7]
rebatter,[ART-2_3],
recurrer,[ART-4],
redrizzar,[ART-1, ART-7]
remetter,[ART-2_3],
remplazzar,[ART-1, ART-7]
resclerir,[ART-4],
ruppar,[ART-1, ART-7]
s'adattar,[ART-1, ART-7]
s'empermetter,[ART-2_3],
s'endrizzar,[ART-1, ART-7]
s'enfuttar,[ART-1, ART-7]
s'extinguer,[ART-4],
s'intermetter,[ART-2_3],
sa barattar,[ART-1, ART-7]
sa baruffar,[ART-1, ART-7]
sa batter,[ART-2_3],
sa bittar,[ART-1, ART-7]
sa chattar,[ART-1, ART-7]
sa crollar,[ART-1, ART-7]
sa cumprometter,[ART-2_3],
sa discurrer,[ART-4],
sa distinguer,[ART-2_3],
sa drizzar,[ART-1, ART-7]
sa fittar,[ART-1, ART-7]
sa mazzar,[ART-1, ART-7]
sa metter,[ART-2_3],
sa permetter,[ART-2_3],
sa remetter,[ART-2_3],
sa suttametter,[ART-2_3],
sa zuppar,[ART-1, ART-7]
sajettar,[ART-1, ART-7]
sbarbuttar,[ART-2_3],
sbarrar,[ART-1, ART-7]
sbatter,[ART-2_3],
sbittar,[ART-1, ART-7]
sbluttar,[ART-1, ART-7]
sbottar,[ART-1, ART-7]
sbrajattar,[ART-1, ART-7]
sbrajazzar,[ART-1, ART-7]
scappar,[ART-1, ART-7]
schlavazzar,[ART-1, ART-7]
schluppettar,[ART-1, ART-7]
schnorrar,[ART-1, ART-7]
schnuffar,[ART-1, ART-7]
scrivlottar,[ART-1, ART-7]
scrollar,[ART-1, ART-7]
scumetter,[ART-2_3],
scurlattar,[ART-1, ART-7]
scurrer,[ART-4],
sdrappar,[ART-1, ART-7]
seguir,[ART-4],
sellar,[ART-1, ART-7]
serrar,[ART-1, ART-7]
sfarlattar,[ART-1, ART-7]
sfilappar,[ART-1, ART-7]
sfruttar,[ART-1, ART-7]
sfullar,[ART-1, ART-7]
sgiargiattar,[ART-1, ART-7]
sgiazzar,[ART-1, ART-7]
sgizzar,[ART-1, ART-7]
sgnappar,[ART-1, ART-7]
sgranellar,[ART-1, ART-7]
sgrattar,[ART-1, ART-7]
sguazzar,[ART-1, ART-7]
sguttar,[ART-1, ART-7]
shoppar,[ART-1, ART-7]
siblar,[ART-7],
sigliottar,[ART-1, ART-7]
singluttar,[ART-1, ART-7]
smagliazzar,[ART-1, ART-7]
smetter,[ART-2_3],
smuttar,[ART-1, ART-7]
sniffar,[ART-1, ART-7]
snizzar,[ART-1, ART-7]
spalazzar,[ART-1, ART-7]
spazzar,[ART-1, ART-7]
spizzar,[ART-1, ART-7]
splattar,[ART-1, ART-7]
sprizzar,[ART-1, ART-7]
squittar,[ART-1, ART-7]
stgavazzar,[ART-1, ART-7]
stizzar,[ART-1, ART-7]
stoppar,[ART-1, ART-7]
stremblir,[ART-4],
subentrar,[ART-1, ART-7]
succurrer,[ART-4],
suffrir,[ART-4],
sulazzar,[ART-1, ART-7]
surcollar,[ART-1, ART-7]
surcuvrir,[ART-4],
sursbrajattar,[ART-1, ART-7]
sutaffittar,[ART-1, ART-7]
suttametter,[ART-2_3],
tettar,[ART-1, ART-7]
tezzar,[ART-1, ART-7]
tgittar,[ART-1, ART-7]
tizzar,[ART-1, ART-7]
tragutter,[ART-2_3],
trametter,[ART-2_3],
transmetter,[ART-2_3],
trottar,[ART-1, ART-7]
tschalattar,[ART-1, ART-7]
tschappar,[ART-1, ART-7]
tschavattar,[ART-1, ART-7]
tschiffar,[ART-1, ART-7]
tschivlottar,[ART-1, ART-7]
tschurrar,[ART-1, ART-7]
tutter,[ART-2_3],
zappar,[ART-1, ART-7]
zullar,[ART-1, ART-7]
zuppar,[ART-1, ART-7]
